!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-06-27 08:31:43

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151_2019

[DEVICE]
SAT2054

# Correlated color temperature (K)
[LAMP_CCT]
2972.0

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
145	786.30	2.316E-004	1.77	360.200	0	25218.10	2.38	25400.93	4.22
146	789.61	2.367E-004	1.77	359.900	0	24779.73	2.94	24964.13	4.66
147	792.92	2.430E-004	1.77	352.700	0	24269.23	3.60	24427.33	4.11
148	796.23	2.495E-004	1.77	353.600	0	23758.23	3.23	23895.73	3.92
149	799.54	2.570E-004	1.77	351.300	0	23148.03	2.55	23283.80	4.31
150	802.85	2.651E-004	1.77	359.500	0	22485.47	3.07	22631.73	4.28
151	806.16	2.734E-004	1.77	354.400	0	21889.07	1.90	22021.80	5.16
152	809.46	2.826E-004	1.77	353.200	0	21275.47	2.48	21388.87	4.27
153	812.77	2.918E-004	1.77	360.300	0	20631.23	2.08	20757.47	4.16
154	816.07	3.018E-004	1.77	357.700	0	20013.87	2.47	20133.47	4.36
155	819.37	3.120E-004	1.77	348.500	0	19470.30	1.93	19556.93	3.91
156	822.68	3.210E-004	1.77	353.100	0	18938.00	2.30	19042.33	3.28
157	825.98	3.318E-004	1.77	356.300	0	18356.57	1.66	18466.73	4.29
158	829.28	3.437E-004	1.77	356.900	0	17779.67	1.46	17880.67	4.42
159	832.58	3.569E-004	1.77	346.500	0	17211.90	1.93	17290.67	5.41
160	835.87	3.709E-004	1.77	351.800	0	16611.47	2.53	16685.67	3.94
161	839.17	3.852E-004	1.77	352.700	0	16021.33	1.74	16101.40	4.24
162	842.46	4.010E-004	1.77	347.300	0	15401.83	2.23	15488.20	4.55
163	845.76	4.195E-004	1.77	347.700	0	14770.10	2.31	14842.87	4.00
164	849.05	4.385E-004	1.77	345.300	0	14150.90	2.16	14222.60	4.37
165	852.34	4.582E-004	1.77	353.800	0	13551.73	2.27	13626.73	3.65
166	855.64	4.790E-004	1.77	352.300	0	13008.27	2.22	13065.73	3.84
167	858.93	5.012E-004	1.77	349.500	0	12485.07	2.23	12522.13	2.97
168	862.21	5.227E-004	1.77	348.400	0	11972.03	2.30	12016.33	3.52
169	865.50	5.456E-004	1.77	356.200	0	11475.97	2.32	11522.87	3.84
170	868.79	5.688E-004	1.77	355.900	0	11020.40	2.68	11066.80	4.13
171	872.07	5.917E-004	1.77	352.200	0	10615.27	2.33	10655.73	3.86
172	875.36	6.131E-004	1.77	352.300	0	10252.10	2.28	10295.00	3.49
173	878.64	6.344E-004	1.78	349.100	0	9912.63	2.16	9957.33	3.92
174	881.92	6.559E-004	1.78	346.500	0	9618.90	2.57	9649.80	4.30
175	885.20	6.769E-004	1.77	344.000	0	9329.67	2.19	9356.27	3.26
176	888.48	6.963E-004	1.78	344.600	0	9047.73	2.20	9084.60	3.84
177	891.76	7.204E-004	2.02	349.900	0	8759.57	2.36	8788.67	3.49
178	895.03	7.463E-004	2.52	349.300	0	8470.27	2.49	8491.33	3.60
179	898.31	7.708E-004	3.04	347.600	0	8196.00	2.16	8219.20	5.14
180	901.58	7.964E-004	3.31	352.700	0	7916.37	1.79	7944.40	5.12
181	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
182	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
183	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
184	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
185	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
186	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
187	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
188	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
189	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
190	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
191	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
192	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
193	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
194	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
195	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
196	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
197	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
198	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
199	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
200	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
201	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
202	0.00	0.000E+000	3.31	0.000	0	0.00	0.00	0.00	0.00
